"branch","row_id","company_identifier","account_identifier","campaign_identifier","adset_identifier","creative_identifier","active_status","active_status_source","campaign_status","adset_status","spend","purchases","impressions","roas","cpa","recent_roas","recent_cpa","recent_purchases","recent_impressions","long90_roas","active_benchmark_scope","active_benchmark_label","active_benchmark_roas","active_benchmark_cpa","peer_median_spend","account_baseline","campaign_baseline","source_provenance_flags","context_flags","source_artifact_generated_at","source_artifact_window_start","source_artifact_window_end"
"pr65","company-01|company-01-account-01|company-01-campaign-01|company-01-adset-01|company-01-creative-01","company-01","company-01-account-01","company-01-campaign-01","company-01-adset-01","company-01-creative-01","true","campaign_and_adset","ACTIVE","ACTIVE","1666.45","58","624143","5.17","28.73","6.37","25.33","18","210553","3.76","account","Account-wide","3.42","45.26","174.79","{""scope"":""account"",""reliability"":""strong"",""sampleSize"":19,""creativeCount"":34,""eligibleCreativeCount"":19,""spendBasis"":7979.98,""purchaseBasis"":198,""weightedRoas"":4.55,""weightedCpa"":40.3,""medianRoas"":3.42,""medianCpa"":45.26,""medianSpend"":174.79,""missingContext"":[]}",,"{""evidenceSource"":""live"",""trustState"":""live_confident"",""previewWindow"":""ready"",""baselineReliability"":""strong""}","{""campaignContextLimited"":false,""deploymentCompatibility"":""compatible"",""deploymentTargetLane"":null,""commercialTruthTargetPackConfigured"":false,""commercialTruthMissingInputs"":[""Target pack is not configured yet."",""Country economics are not configured for the live decision window."",""Site health and stock pressure constraints are not configured.""],""businessValidationStatus"":""missing""}","2026-04-25T22:20:32.480Z","2026-03-27","2026-04-25"
"pr65","company-01|company-01-account-01|company-01-campaign-02|company-01-adset-02|company-01-creative-02","company-01","company-01-account-01","company-01-campaign-02","company-01-adset-02","company-01-creative-02","true","campaign_and_adset","ACTIVE","ACTIVE","823.81","21","82642","4.47","39.23","1.68","64.79","3","19938","3.59","account","Account-wide","3.42","45.26","174.79","{""scope"":""account"",""reliability"":""strong"",""sampleSize"":19,""creativeCount"":34,""eligibleCreativeCount"":19,""spendBasis"":8822.62,""purchaseBasis"":235,""weightedRoas"":4.68,""weightedCpa"":37.54,""medianRoas"":3.42,""medianCpa"":45.26,""medianSpend"":174.79,""missingContext"":[]}",,"{""evidenceSource"":""live"",""trustState"":""degraded_missing_truth"",""previewWindow"":""ready"",""baselineReliability"":""strong""}","{""campaignContextLimited"":false,""deploymentCompatibility"":""limited"",""deploymentTargetLane"":""Validation"",""commercialTruthTargetPackConfigured"":false,""commercialTruthMissingInputs"":[""Target pack is not configured yet."",""Country economics are not configured for the live decision window."",""Site health and stock pressure constraints are not configured.""],""businessValidationStatus"":""missing""}","2026-04-25T22:20:32.480Z","2026-03-27","2026-04-25"
"pr65","company-01|company-01-account-01|company-01-campaign-02|company-01-adset-03|company-01-creative-03","company-01","company-01-account-01","company-01-campaign-02","company-01-adset-03","company-01-creative-03","true","campaign_and_adset","ACTIVE","ACTIVE","452.08","8","31157","2.48","56.51","2.44","55.48","2","6958","2.48","account","Account-wide","3.46","43.08","174.79","{""scope"":""account"",""reliability"":""strong"",""sampleSize"":19,""creativeCount"":34,""eligibleCreativeCount"":19,""spendBasis"":9194.35,""purchaseBasis"":248,""weightedRoas"":4.77,""weightedCpa"":37.07,""medianRoas"":3.46,""medianCpa"":43.08,""medianSpend"":174.79,""missingContext"":[]}",,"{""evidenceSource"":""live"",""trustState"":""live_confident"",""previewWindow"":""ready"",""baselineReliability"":""strong""}","{""campaignContextLimited"":false,""deploymentCompatibility"":""compatible"",""deploymentTargetLane"":null,""commercialTruthTargetPackConfigured"":false,""commercialTruthMissingInputs"":[""Target pack is not configured yet."",""Country economics are not configured for the live decision window."",""Site health and stock pressure constraints are not configured.""],""businessValidationStatus"":""missing""}","2026-04-25T22:20:32.480Z","2026-03-27","2026-04-25"
"pr65","company-01|company-01-account-01|company-01-campaign-02|company-01-adset-04|company-01-creative-04","company-01","company-01-account-01","company-01-campaign-02","company-01-adset-04","company-01-creative-04","true","campaign_and_adset","ACTIVE","ACTIVE","408.26","13","51787","3.42","31.4","4.2","29.42","4","13560","2.86","account","Account-wide","3.46","45.26","174.79","{""scope"":""account"",""reliability"":""strong"",""sampleSize"":19,""creativeCount"":34,""eligibleCreativeCount"":19,""spendBasis"":9238.17,""purchaseBasis"":243,""weightedRoas"":4.71,""weightedCpa"":38.02,""medianRoas"":3.46,""medianCpa"":45.26,""medianSpend"":174.79,""missingContext"":[]}",,"{""evidenceSource"":""live"",""trustState"":""live_confident"",""previewWindow"":""ready"",""baselineReliability"":""strong""}","{""campaignContextLimited"":false,""deploymentCompatibility"":""compatible"",""deploymentTargetLane"":null,""commercialTruthTargetPackConfigured"":false,""commercialTruthMissingInputs"":[""Target pack is not configured yet."",""Country economics are not configured for the live decision window."",""Site health and stock pressure constraints are not configured.""],""businessValidationStatus"":""missing""}","2026-04-25T22:20:32.480Z","2026-03-27","2026-04-25"
"pr65","company-01|company-01-account-01|company-01-campaign-02|company-01-adset-05|company-01-creative-05","company-01","company-01-account-01","company-01-campaign-02","company-01-adset-05","company-01-creative-05","true","campaign_and_adset","ACTIVE","ACTIVE","349.14","18","38517","9.18","19.4","7.97","21.12","6","12766","7.19","account","Account-wide","3.42","45.26","174.79","{""scope"":""account"",""reliability"":""strong"",""sampleSize"":19,""creativeCount"":34,""eligibleCreativeCount"":19,""spendBasis"":9297.29,""purchaseBasis"":238,""weightedRoas"":4.49,""weightedCpa"":39.06,""medianRoas"":3.42,""medianCpa"":45.26,""medianSpend"":174.79,""missingContext"":[]}",,"{""evidenceSource"":""live"",""trustState"":""live_confident"",""previewWindow"":""ready"",""baselineReliability"":""strong""}","{""campaignContextLimited"":false,""deploymentCompatibility"":""limited"",""deploymentTargetLane"":""Scaling"",""commercialTruthTargetPackConfigured"":false,""commercialTruthMissingInputs"":[""Target pack is not configured yet."",""Country economics are not configured for the live decision window."",""Site health and stock pressure constraints are not configured.""],""businessValidationStatus"":""missing""}","2026-04-25T22:20:32.480Z","2026-03-27","2026-04-25"
"pr65","company-01|company-01-account-01|company-01-campaign-03|company-01-adset-06|company-01-creative-06","company-01","company-01-account-01","company-01-campaign-03","company-01-adset-06","company-01-creative-06","true","campaign_and_adset","ACTIVE","ACTIVE","279.77","0","90929","0","0","0","0","0","20365","0","account","Account-wide","3.44","44.17","261.96","{""scope"":""account"",""reliability"":""strong"",""sampleSize"":20,""creativeCount"":34,""eligibleCreativeCount"":20,""spendBasis"":9646.43,""purchaseBasis"":256,""weightedRoas"":4.66,""weightedCpa"":37.68,""medianRoas"":3.44,""medianCpa"":44.17,""medianSpend"":261.96,""missingContext"":[]}",,"{""evidenceSource"":""live"",""trustState"":""degraded_missing_truth"",""previewWindow"":""ready"",""baselineReliability"":""strong""}","{""campaignContextLimited"":false,""deploymentCompatibility"":""limited"",""deploymentTargetLane"":""Validation"",""commercialTruthTargetPackConfigured"":false,""commercialTruthMissingInputs"":[""Target pack is not configured yet."",""Country economics are not configured for the live decision window."",""Site health and stock pressure constraints are not configured.""],""businessValidationStatus"":""missing""}","2026-04-25T22:20:32.480Z","2026-03-27","2026-04-25"
"pr65","company-01|company-01-account-01|company-01-campaign-03|company-01-adset-06|company-01-creative-07","company-01","company-01-account-01","company-01-campaign-03","company-01-adset-06","company-01-creative-07","true","campaign_and_adset","ACTIVE","ACTIVE","241.32","0","158396","0","0",,,,,"2.45","account","Account-wide","3.44","44.17","261.96","{""scope"":""account"",""reliability"":""strong"",""sampleSize"":20,""creativeCount"":34,""eligibleCreativeCount"":20,""spendBasis"":9646.43,""purchaseBasis"":256,""weightedRoas"":4.66,""weightedCpa"":37.68,""medianRoas"":3.44,""medianCpa"":44.17,""medianSpend"":261.96,""missingContext"":[]}",,"{""evidenceSource"":""live"",""trustState"":""degraded_missing_truth"",""previewWindow"":""ready"",""baselineReliability"":""strong""}","{""campaignContextLimited"":false,""deploymentCompatibility"":""limited"",""deploymentTargetLane"":""Validation"",""commercialTruthTargetPackConfigured"":false,""commercialTruthMissingInputs"":[""Target pack is not configured yet."",""Country economics are not configured for the live decision window."",""Site health and stock pressure constraints are not configured.""],""businessValidationStatus"":""missing""}","2026-04-25T22:20:32.480Z","2026-03-27","2026-04-25"
"pr65","company-01|company-01-account-01|company-01-campaign-02|company-01-adset-05|company-01-creative-08","company-01","company-01-account-01","company-01-campaign-02","company-01-adset-05","company-01-creative-08","true","campaign_and_adset","ACTIVE","ACTIVE","174.79","2","25779","1.75","87.4","7.88","26.87","1","2884","1.75","account","Account-wide","3.46","43.08","349.14","{""scope"":""account"",""reliability"":""strong"",""sampleSize"":19,""creativeCount"":34,""eligibleCreativeCount"":19,""spendBasis"":9471.64,""purchaseBasis"":254,""weightedRoas"":4.71,""weightedCpa"":37.29,""medianRoas"":3.46,""medianCpa"":43.08,""medianSpend"":349.14,""missingContext"":[]}",,"{""evidenceSource"":""live"",""trustState"":""live_confident"",""previewWindow"":""ready"",""baselineReliability"":""strong""}","{""campaignContextLimited"":false,""deploymentCompatibility"":""compatible"",""deploymentTargetLane"":null,""commercialTruthTargetPackConfigured"":false,""commercialTruthMissingInputs"":[""Target pack is not configured yet."",""Country economics are not configured for the live decision window."",""Site health and stock pressure constraints are not configured.""],""businessValidationStatus"":""missing""}","2026-04-25T22:20:32.480Z","2026-03-27","2026-04-25"
"pr65","company-01|company-01-account-01|company-01-campaign-02|company-01-adset-05|company-01-creative-09","company-01","company-01-account-01","company-01-campaign-02","company-01-adset-05","company-01-creative-09","true","campaign_and_adset","ACTIVE","ACTIVE","151.5","3","30775","3.59","50.5","16.61","14.35","1","2478","3.59","account","Account-wide","3.42","43.08","349.14","{""scope"":""account"",""reliability"":""strong"",""sampleSize"":19,""creativeCount"":34,""eligibleCreativeCount"":19,""spendBasis"":9494.93,""purchaseBasis"":253,""weightedRoas"":4.68,""weightedCpa"":37.53,""medianRoas"":3.42,""medianCpa"":43.08,""medianSpend"":349.14,""missingContext"":[]}",,"{""evidenceSource"":""live"",""trustState"":""live_confident"",""previewWindow"":""ready"",""baselineReliability"":""strong""}","{""campaignContextLimited"":false,""deploymentCompatibility"":""compatible"",""deploymentTargetLane"":null,""commercialTruthTargetPackConfigured"":false,""commercialTruthMissingInputs"":[""Target pack is not configured yet."",""Country economics are not configured for the live decision window."",""Site health and stock pressure constraints are not configured.""],""businessValidationStatus"":""missing""}","2026-04-25T22:20:32.480Z","2026-03-27","2026-04-25"
"pr65","company-01|company-01-account-01|company-01-campaign-02|company-01-adset-05|company-01-creative-10","company-01","company-01-account-01","company-01-campaign-02","company-01-adset-05","company-01-creative-10","true","campaign_and_adset","ACTIVE","ACTIVE","129.23","3","6672","3","43.08","0","0","0","834","4.23","account","Account-wide","3.46","45.26","349.14","{""scope"":""account"",""reliability"":""strong"",""sampleSize"":19,""creativeCount"":34,""eligibleCreativeCount"":19,""spendBasis"":9517.2,""purchaseBasis"":253,""weightedRoas"":4.68,""weightedCpa"":37.62,""medianRoas"":3.46,""medianCpa"":45.26,""medianSpend"":349.14,""missingContext"":[]}",,"{""evidenceSource"":""live"",""trustState"":""live_confident"",""previewWindow"":""ready"",""baselineReliability"":""strong""}","{""campaignContextLimited"":false,""deploymentCompatibility"":""compatible"",""deploymentTargetLane"":null,""commercialTruthTargetPackConfigured"":false,""commercialTruthMissingInputs"":[""Target pack is not configured yet."",""Country economics are not configured for the live decision window."",""Site health and stock pressure constraints are not configured.""],""businessValidationStatus"":""missing""}","2026-04-25T22:20:32.480Z","2026-03-27","2026-04-25"
"pr65","company-02|company-02-account-01|company-02-campaign-01|company-02-adset-01|company-02-creative-01","company-02","company-02-account-01","company-02-campaign-01","company-02-adset-01","company-02-creative-01","true","campaign_and_adset","ACTIVE","ACTIVE","3994.1","34","286023","2.13","117.47","1.41","243.6","3","35751","2.4","account","Account-wide","2.91","76.93","750.28","{""scope"":""account"",""reliability"":""medium"",""sampleSize"":5,""creativeCount"":7,""eligibleCreativeCount"":5,""spendBasis"":4121,""purchaseBasis"":54,""weightedRoas"":3.36,""weightedCpa"":76.31,""medianRoas"":2.91,""medianCpa"":76.93,""medianSpend"":750.28,""missingContext"":[]}",,"{""evidenceSource"":""live"",""trustState"":""degraded_missing_truth"",""previewWindow"":""ready"",""baselineReliability"":""medium""}","{""campaignContextLimited"":false,""deploymentCompatibility"":""limited"",""deploymentTargetLane"":""Validation"",""commercialTruthTargetPackConfigured"":true,""commercialTruthMissingInputs"":[""Country economics are not configured for the live decision window."",""Site health and stock pressure constraints are not configured.""],""businessValidationStatus"":""missing""}","2026-04-25T22:20:32.480Z","2026-03-27","2026-04-25"
