"branch","row_id","company_identifier","account_identifier","campaign_identifier","adset_identifier","creative_identifier","active_status","active_status_source","campaign_status","adset_status","spend","purchases","impressions","roas","cpa","recent_roas","recent_cpa","recent_purchases","recent_impressions","long90_roas","active_benchmark_scope","active_benchmark_label","active_benchmark_roas","active_benchmark_cpa","peer_median_spend","account_baseline","campaign_baseline","source_provenance_flags","context_flags","source_artifact_generated_at","source_artifact_window_start","source_artifact_window_end"
"pr74","company-01|company-01-account-01|company-01-campaign-01|company-01-adset-01|company-01-creative-01","company-01","company-01-account-01","company-01-campaign-01","company-01-adset-01","company-01-creative-01","false","campaign_and_adset","PAUSED","CAMPAIGN_PAUSED","2383.21","55","901895","4","43.33","3.38","59.72","9","430395","3.67","account","Account-wide","3.24","45.67","163.13","{""scope"":""account"",""reliability"":""strong"",""sampleSize"":20,""creativeCount"":34,""eligibleCreativeCount"":20,""spendBasis"":7197.4,""purchaseBasis"":195,""weightedRoas"":4.89,""weightedCpa"":36.91,""medianRoas"":3.24,""medianCpa"":45.67,""medianSpend"":163.13,""missingContext"":[]}",,"{""evidenceSource"":""live"",""trustState"":""live_confident"",""previewWindow"":""ready"",""baselineReliability"":""strong""}","{""campaignContextLimited"":false,""deploymentCompatibility"":""limited"",""deploymentTargetLane"":""Scaling"",""commercialTruthTargetPackConfigured"":false,""commercialTruthMissingInputs"":[""Target pack is not configured yet."",""Country economics are not configured for the live decision window."",""Site health and stock pressure constraints are not configured.""],""businessValidationStatus"":""missing""}","2026-04-24T21:26:56.219Z","2026-03-26","2026-04-24"
"pr74","company-01|company-01-account-01|company-01-campaign-02|company-01-adset-02|company-01-creative-02","company-01","company-01-account-01","company-01-campaign-02","company-01-adset-02","company-01-creative-02","false","campaign_and_adset","ACTIVE","UNKNOWN","1673.21","57","622920","5.43","29.35","5.66","28.41","19","256218","3.74","account","Account-wide","3.24","45.93","163.13","{""scope"":""account"",""reliability"":""strong"",""sampleSize"":20,""creativeCount"":34,""eligibleCreativeCount"":20,""spendBasis"":7907.4,""purchaseBasis"":193,""weightedRoas"":4.51,""weightedCpa"":40.97,""medianRoas"":3.24,""medianCpa"":45.93,""medianSpend"":163.13,""missingContext"":[]}",,"{""evidenceSource"":""live"",""trustState"":""live_confident"",""previewWindow"":""ready"",""baselineReliability"":""strong""}","{""campaignContextLimited"":false,""deploymentCompatibility"":""limited"",""deploymentTargetLane"":""Scaling"",""commercialTruthTargetPackConfigured"":false,""commercialTruthMissingInputs"":[""Target pack is not configured yet."",""Country economics are not configured for the live decision window."",""Site health and stock pressure constraints are not configured.""],""businessValidationStatus"":""missing""}","2026-04-24T21:26:56.219Z","2026-03-26","2026-04-24"
"pr74","company-01|company-01-account-01|company-01-campaign-01|company-01-adset-01|company-01-creative-03","company-01","company-01-account-01","company-01-campaign-01","company-01-adset-01","company-01-creative-03","false","campaign_and_adset","PAUSED","CAMPAIGN_PAUSED","998.74","31","189204","9.08","32.22","6.5","28.05","6","42990","9.17","account","Account-wide","3.24","45.93","163.13","{""scope"":""account"",""reliability"":""strong"",""sampleSize"":20,""creativeCount"":34,""eligibleCreativeCount"":20,""spendBasis"":8581.87,""purchaseBasis"":219,""weightedRoas"":4.15,""weightedCpa"":39.19,""medianRoas"":3.24,""medianCpa"":45.93,""medianSpend"":163.13,""missingContext"":[]}",,"{""evidenceSource"":""live"",""trustState"":""degraded_missing_truth"",""previewWindow"":""ready"",""baselineReliability"":""strong""}","{""campaignContextLimited"":false,""deploymentCompatibility"":""limited"",""deploymentTargetLane"":""Validation"",""commercialTruthTargetPackConfigured"":false,""commercialTruthMissingInputs"":[""Target pack is not configured yet."",""Country economics are not configured for the live decision window."",""Site health and stock pressure constraints are not configured.""],""businessValidationStatus"":""missing""}","2026-04-24T21:26:56.219Z","2026-03-26","2026-04-24"
"pr74","company-01|company-01-account-01|company-01-campaign-01|company-01-adset-01|company-01-creative-04","company-01","company-01-account-01","company-01-campaign-01","company-01-adset-01","company-01-creative-04","false","campaign_and_adset","PAUSED","CAMPAIGN_PAUSED","818.04","15","320930","3.73","54.54","1.68","63.81","10","167480","3.47","account","Account-wide","3.24","43.07","163.13","{""scope"":""account"",""reliability"":""strong"",""sampleSize"":20,""creativeCount"":34,""eligibleCreativeCount"":20,""spendBasis"":8762.57,""purchaseBasis"":235,""weightedRoas"":4.76,""weightedCpa"":37.29,""medianRoas"":3.24,""medianCpa"":43.07,""medianSpend"":163.13,""missingContext"":[]}",,"{""evidenceSource"":""live"",""trustState"":""live_confident"",""previewWindow"":""ready"",""baselineReliability"":""strong""}","{""campaignContextLimited"":false,""deploymentCompatibility"":""limited"",""deploymentTargetLane"":""Scaling"",""commercialTruthTargetPackConfigured"":false,""commercialTruthMissingInputs"":[""Target pack is not configured yet."",""Country economics are not configured for the live decision window."",""Site health and stock pressure constraints are not configured.""],""businessValidationStatus"":""missing""}","2026-04-24T21:26:56.219Z","2026-03-26","2026-04-24"
"pr74","company-01|company-01-account-01|company-01-campaign-03|company-01-adset-03|company-01-creative-05","company-01","company-01-account-01","company-01-campaign-03","company-01-adset-03","company-01-creative-05","false","campaign_and_adset","ACTIVE","UNKNOWN","796.13","21","79575","4.62","37.91","1.68","64.5","3","19987","3.69","account","Account-wide","3.24","45.93","163.13","{""scope"":""account"",""reliability"":""strong"",""sampleSize"":20,""creativeCount"":34,""eligibleCreativeCount"":20,""spendBasis"":8784.48,""purchaseBasis"":229,""weightedRoas"":4.67,""weightedCpa"":38.36,""medianRoas"":3.24,""medianCpa"":45.93,""medianSpend"":163.13,""missingContext"":[]}",,"{""evidenceSource"":""live"",""trustState"":""degraded_missing_truth"",""previewWindow"":""ready"",""baselineReliability"":""strong""}","{""campaignContextLimited"":false,""deploymentCompatibility"":""limited"",""deploymentTargetLane"":""Validation"",""commercialTruthTargetPackConfigured"":false,""commercialTruthMissingInputs"":[""Target pack is not configured yet."",""Country economics are not configured for the live decision window."",""Site health and stock pressure constraints are not configured.""],""businessValidationStatus"":""missing""}","2026-04-24T21:26:56.219Z","2026-03-26","2026-04-24"
"pr74","company-01|company-01-account-01|company-01-campaign-03|company-01-adset-04|company-01-creative-06","company-01","company-01-account-01","company-01-campaign-03","company-01-adset-04","company-01-creative-06","false","campaign_and_adset","ACTIVE","UNKNOWN","429.67","7","29882","2.13","61.38","0.59","104.2","1","6999","2.13","account","Account-wide","3.38","43.07","163.13","{""scope"":""account"",""reliability"":""strong"",""sampleSize"":20,""creativeCount"":34,""eligibleCreativeCount"":20,""spendBasis"":9150.94,""purchaseBasis"":243,""weightedRoas"":4.79,""weightedCpa"":37.66,""medianRoas"":3.38,""medianCpa"":43.07,""medianSpend"":163.13,""missingContext"":[]}",,"{""evidenceSource"":""live"",""trustState"":""degraded_missing_truth"",""previewWindow"":""ready"",""baselineReliability"":""strong""}","{""campaignContextLimited"":false,""deploymentCompatibility"":""limited"",""deploymentTargetLane"":""Validation"",""commercialTruthTargetPackConfigured"":false,""commercialTruthMissingInputs"":[""Target pack is not configured yet."",""Country economics are not configured for the live decision window."",""Site health and stock pressure constraints are not configured.""],""businessValidationStatus"":""missing""}","2026-04-24T21:26:56.219Z","2026-03-26","2026-04-24"
"pr74","company-01|company-01-account-01|company-01-campaign-01|company-01-adset-01|company-01-creative-07","company-01","company-01-account-01","company-01-campaign-01","company-01-adset-01","company-01-creative-07","false","campaign_and_adset","PAUSED","CAMPAIGN_PAUSED","388.19","8","86769","2.97","48.52","0","0","0","1382","3.41","account","Account-wide","3.38","43.07","163.13","{""scope"":""account"",""reliability"":""strong"",""sampleSize"":20,""creativeCount"":34,""eligibleCreativeCount"":20,""spendBasis"":9192.42,""purchaseBasis"":242,""weightedRoas"":4.74,""weightedCpa"":37.99,""medianRoas"":3.38,""medianCpa"":43.07,""medianSpend"":163.13,""missingContext"":[]}",,"{""evidenceSource"":""live"",""trustState"":""degraded_missing_truth"",""previewWindow"":""ready"",""baselineReliability"":""strong""}","{""campaignContextLimited"":false,""deploymentCompatibility"":""limited"",""deploymentTargetLane"":""Validation"",""commercialTruthTargetPackConfigured"":false,""commercialTruthMissingInputs"":[""Target pack is not configured yet."",""Country economics are not configured for the live decision window."",""Site health and stock pressure constraints are not configured.""],""businessValidationStatus"":""missing""}","2026-04-24T21:26:56.219Z","2026-03-26","2026-04-24"
"pr74","company-01|company-01-account-01|company-01-campaign-03|company-01-adset-05|company-01-creative-08","company-01","company-01-account-01","company-01-campaign-03","company-01-adset-05","company-01-creative-08","false","campaign_and_adset","ACTIVE","UNKNOWN","385.6","12","49632","3.27","32.13","3.17","37.89","3","14027","2.6","account","Account-wide","3.35","45.93","163.13","{""scope"":""account"",""reliability"":""strong"",""sampleSize"":20,""creativeCount"":34,""eligibleCreativeCount"":20,""spendBasis"":9195.01,""purchaseBasis"":238,""weightedRoas"":4.73,""weightedCpa"":38.63,""medianRoas"":3.35,""medianCpa"":45.93,""medianSpend"":163.13,""missingContext"":[]}",,"{""evidenceSource"":""live"",""trustState"":""live_confident"",""previewWindow"":""ready"",""baselineReliability"":""strong""}","{""campaignContextLimited"":false,""deploymentCompatibility"":""compatible"",""deploymentTargetLane"":null,""commercialTruthTargetPackConfigured"":false,""commercialTruthMissingInputs"":[""Target pack is not configured yet."",""Country economics are not configured for the live decision window."",""Site health and stock pressure constraints are not configured.""],""businessValidationStatus"":""missing""}","2026-04-24T21:26:56.219Z","2026-03-26","2026-04-24"
"pr74","company-01|company-01-account-01|company-01-campaign-01|company-01-adset-01|company-01-creative-09","company-01","company-01-account-01","company-01-campaign-01","company-01-adset-01","company-01-creative-09","false","campaign_and_adset","PAUSED","CAMPAIGN_PAUSED","377.44","7","53023","3.21","53.92","1.43","48.44","1","6321","3.5","account","Account-wide","3.38","43.07","163.13","{""scope"":""account"",""reliability"":""strong"",""sampleSize"":20,""creativeCount"":34,""eligibleCreativeCount"":20,""spendBasis"":9203.17,""purchaseBasis"":243,""weightedRoas"":4.73,""weightedCpa"":37.87,""medianRoas"":3.38,""medianCpa"":43.07,""medianSpend"":163.13,""missingContext"":[]}",,"{""evidenceSource"":""live"",""trustState"":""degraded_missing_truth"",""previewWindow"":""ready"",""baselineReliability"":""strong""}","{""campaignContextLimited"":false,""deploymentCompatibility"":""limited"",""deploymentTargetLane"":""Validation"",""commercialTruthTargetPackConfigured"":false,""commercialTruthMissingInputs"":[""Target pack is not configured yet."",""Country economics are not configured for the live decision window."",""Site health and stock pressure constraints are not configured.""],""businessValidationStatus"":""missing""}","2026-04-24T21:26:56.219Z","2026-03-26","2026-04-24"
"pr74","company-01|company-01-account-01|company-01-campaign-03|company-01-adset-06|company-01-creative-10","company-01","company-01-account-01","company-01-campaign-03","company-01-adset-06","company-01-creative-10","false","campaign_and_adset","ACTIVE","UNKNOWN","321.8","16","35295","8.32","20.11","4.13","29.03","4","11507","5.96","account","Account-wide","3.24","45.93","163.13","{""scope"":""account"",""reliability"":""strong"",""sampleSize"":20,""creativeCount"":34,""eligibleCreativeCount"":20,""spendBasis"":9258.81,""purchaseBasis"":234,""weightedRoas"":4.54,""weightedCpa"":39.57,""medianRoas"":3.24,""medianCpa"":45.93,""medianSpend"":163.13,""missingContext"":[]}",,"{""evidenceSource"":""live"",""trustState"":""live_confident"",""previewWindow"":""ready"",""baselineReliability"":""strong""}","{""campaignContextLimited"":false,""deploymentCompatibility"":""limited"",""deploymentTargetLane"":""Scaling"",""commercialTruthTargetPackConfigured"":false,""commercialTruthMissingInputs"":[""Target pack is not configured yet."",""Country economics are not configured for the live decision window."",""Site health and stock pressure constraints are not configured.""],""businessValidationStatus"":""missing""}","2026-04-24T21:26:56.219Z","2026-03-26","2026-04-24"
"pr74","company-02|company-02-account-01|company-02-campaign-01|company-02-adset-01|company-02-creative-01","company-02","company-02-account-01","company-02-campaign-01","company-02-adset-01","company-02-creative-01","false","campaign_and_adset","ACTIVE","UNKNOWN","3896.01","35","285980","2.21","111.31","1.3","262.72","3","37998","2.45","account","Account-wide","2.69","72.2","779.9","{""scope"":""account"",""reliability"":""medium"",""sampleSize"":5,""creativeCount"":7,""eligibleCreativeCount"":5,""spendBasis"":4215.25,""purchaseBasis"":54,""weightedRoas"":3.3,""weightedCpa"":78.06,""medianRoas"":2.69,""medianCpa"":72.2,""medianSpend"":779.9,""missingContext"":[]}",,"{""evidenceSource"":""live"",""trustState"":""degraded_missing_truth"",""previewWindow"":""ready"",""baselineReliability"":""medium""}","{""campaignContextLimited"":false,""deploymentCompatibility"":""limited"",""deploymentTargetLane"":""Validation"",""commercialTruthTargetPackConfigured"":true,""commercialTruthMissingInputs"":[""Country economics are not configured for the live decision window."",""Site health and stock pressure constraints are not configured.""],""businessValidationStatus"":""missing""}","2026-04-24T21:26:56.219Z","2026-03-26","2026-04-24"
"pr74","company-02|company-02-account-01|company-02-campaign-01|company-02-adset-01|company-02-creative-02","company-02","company-02-account-01","company-02-campaign-01","company-02-adset-01","company-02-creative-02","false","campaign_and_adset","ACTIVE","UNKNOWN","2262.94","19","89114","2.59","119.1","2.63","128.17","2","8807","2.34","account","Account-wide","2.69","72.2","779.9","{""scope"":""account"",""reliability"":""medium"",""sampleSize"":5,""creativeCount"":7,""eligibleCreativeCount"":5,""spendBasis"":5848.32,""purchaseBasis"":70,""weightedRoas"":2.84,""weightedCpa"":83.55,""medianRoas"":2.69,""medianCpa"":72.2,""medianSpend"":779.9,""missingContext"":[]}",,"{""evidenceSource"":""live"",""trustState"":""degraded_missing_truth"",""previewWindow"":""ready"",""baselineReliability"":""medium""}","{""campaignContextLimited"":false,""deploymentCompatibility"":""limited"",""deploymentTargetLane"":""Validation"",""commercialTruthTargetPackConfigured"":true,""commercialTruthMissingInputs"":[""Country economics are not configured for the live decision window."",""Site health and stock pressure constraints are not configured.""],""businessValidationStatus"":""missing""}","2026-04-24T21:26:56.219Z","2026-03-26","2026-04-24"
"pr74","company-02|company-02-account-01|company-02-campaign-02|company-02-adset-02|company-02-creative-03","company-02","company-02-account-01","company-02-campaign-02","company-02-adset-02","company-02-creative-03","false","campaign_and_adset","ACTIVE","UNKNOWN","788.32","8","33939","2.69","98.54","0","0","0","1572","2.99","account","Account-wide","2.59","72.2","779.9","{""scope"":""account"",""reliability"":""medium"",""sampleSize"":5,""creativeCount"":7,""eligibleCreativeCount"":5,""spendBasis"":7322.94,""purchaseBasis"":81,""weightedRoas"":2.78,""weightedCpa"":90.41,""medianRoas"":2.59,""medianCpa"":72.2,""medianSpend"":779.9,""missingContext"":[]}",,"{""evidenceSource"":""live"",""trustState"":""degraded_missing_truth"",""previewWindow"":""ready"",""baselineReliability"":""medium""}","{""campaignContextLimited"":false,""deploymentCompatibility"":""limited"",""deploymentTargetLane"":""Validation"",""commercialTruthTargetPackConfigured"":true,""commercialTruthMissingInputs"":[""Country economics are not configured for the live decision window."",""Site health and stock pressure constraints are not configured.""],""businessValidationStatus"":""missing""}","2026-04-24T21:26:56.219Z","2026-03-26","2026-04-24"
"pr74","company-02|company-02-account-01|company-02-campaign-01|company-02-adset-01|company-02-creative-04","company-02","company-02-account-01","company-02-campaign-01","company-02-adset-01","company-02-creative-04","false","campaign_and_adset","ACTIVE","UNKNOWN","779.9","13","40029","4.34","59.99","9.41","45.13","3","6245","3.2","account","Account-wide","2.59","98.54","788.32","{""scope"":""account"",""reliability"":""medium"",""sampleSize"":5,""creativeCount"":7,""eligibleCreativeCount"":5,""spendBasis"":7331.36,""purchaseBasis"":76,""weightedRoas"":2.61,""weightedCpa"":96.47,""medianRoas"":2.59,""medianCpa"":98.54,""medianSpend"":788.32,""missingContext"":[]}",,"{""evidenceSource"":""live"",""trustState"":""live_confident"",""previewWindow"":""ready"",""baselineReliability"":""medium""}","{""campaignContextLimited"":false,""deploymentCompatibility"":""compatible"",""deploymentTargetLane"":null,""commercialTruthTargetPackConfigured"":true,""commercialTruthMissingInputs"":[""Country economics are not configured for the live decision window."",""Site health and stock pressure constraints are not configured.""],""businessValidationStatus"":""favorable""}","2026-04-24T21:26:56.219Z","2026-03-26","2026-04-24"
