"row_key","company_identifier","creative_identifier","old_decision","new_decision","old_internal_segment","new_internal_segment","old_recommended_action","new_recommended_action","reason_for_change_if_visible_from_tags","actionability_changed","old_actionability_state","new_actionability_state","queue_eligibility_changed","old_queue_eligible","new_queue_eligible","apply_eligibility_changed","old_apply_eligible","new_apply_eligible","push_readiness_changed","old_push_readiness","new_push_readiness"
"company-01|company-01-creative-01","company-01","company-01-creative-01","Retest","Refresh","needs_new_variant","fatigued_winner","hold_no_touch","Refresh","fatigue_pressure|business_validation_missing","true","blocked","review_only","false","false","false","false","false","false","true","blocked_from_push","operator_review_required"
"company-01|company-01-creative-02","company-01","company-01-creative-02","Scale Review","Test More","scale_review","promising_under_sampled","hold_no_touch","Test More","strong_relative_winner|business_validation_missing","true","blocked","review_only","false","false","false","false","false","false","true","blocked_from_push","read_only_insight"
"company-01|company-01-creative-03","company-01","company-01-creative-03","Scale Review","Refresh","scale_review","fatigued_winner","keep_in_test","Refresh","fatigue_pressure","false","review_only","review_only","false","false","false","false","false","false","false","operator_review_required","operator_review_required"
"company-01|company-01-creative-04","company-01","company-01-creative-04","Protect","Refresh","protected_winner","fatigued_winner","hold_no_touch","Refresh","fatigue_pressure|business_validation_missing","true","blocked","review_only","false","false","false","false","false","false","true","blocked_from_push","operator_review_required"
"company-01|company-01-creative-05","company-01","company-01-creative-05","Scale Review","Scale Review","scale_review","scale_review","keep_in_test","Scale Review","strong_relative_winner|business_validation_missing","true","review_only","blocked","false","false","false","false","false","false","true","operator_review_required","blocked_from_push"
"company-01|company-01-creative-07","company-01","company-01-creative-07","Refresh","Not Enough Data","needs_new_variant","creative_learning_incomplete","keep_in_test","Not Enough Data","low_evidence|creative_learning_incomplete","false","review_only","review_only","false","false","false","false","false","false","true","operator_review_required","read_only_insight"
"company-01|company-01-creative-08","company-01","company-01-creative-08","Refresh","Refresh","fatigued_winner","fatigued_winner","refresh_replace","Refresh","fatigue_pressure","true","review_only","blocked","false","false","false","false","false","false","true","operator_review_required","blocked_from_push"
"company-01|company-01-creative-09","company-01","company-01-creative-09","Watch","Refresh","hold_monitor","fatigued_winner","keep_in_test","Refresh","fatigue_pressure","true","review_only","blocked","false","false","false","false","false","false","true","read_only_insight","blocked_from_push"
"company-01|company-01-creative-10","company-01","company-01-creative-10","Scale Review","Refresh","scale_review","fatigued_winner","hold_no_touch","Refresh","fatigue_pressure","false","blocked","blocked","false","false","false","false","false","false","false","blocked_from_push","blocked_from_push"
"company-02|company-02-creative-03","company-02","company-02-creative-03","Watch","Refresh","hold_monitor","fatigued_winner","keep_in_test","Refresh","fatigue_pressure","false","review_only","review_only","false","false","false","false","false","false","true","read_only_insight","operator_review_required"
