rowId,companyId,accountId,campaignId,adSetId,creativeId,currentOperatorDecision,v2PrimaryDecision,v2Actionability,v2Confidence,v2ReasonTags,v2RiskLevel,v2ProblemClass,v2QueueEligible,v2ApplyEligible,spend,purchases,impressions,roas,cpa,recentRoas,recentPurchases,longWindowRoas,activeBenchmarkRoas,activeBenchmarkCpa,peerMedianSpend,activeStatus,campaignStatus,adSetStatus,campaignAdsetBlockerFlags,trustSourceProvenanceFlags,changedFromCurrent
company-01|company-01-account-01|company-01-campaign-01|company-01-adset-01|company-01-creative-01,company-01,company-01-account-01,company-01-campaign-01,company-01-adset-01,company-01-creative-01,Refresh,Protect,review_only,90,stable_above_benchmark_winner;protect_before_scale,low,creative,false,false,1670.48,58,624755,5.16,28.8,6.31,18,3.76,3.42,45.78,164.03,true,ACTIVE,ACTIVE,,trust_live_confident;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_operator_review_required,true
company-01|company-01-account-01|company-01-campaign-02|company-01-adset-02|company-01-creative-02,company-01,company-01-account-01,company-01-campaign-02,company-01-adset-02,company-01-creative-02,Test More,Refresh,review_only,81,lifetime_strong_recent_decay;refresh_before_cut,high,creative,false,false,833.63,21,83732,4.42,39.7,1.59,3,3.56,3.42,45.78,164.03,true,ACTIVE,ACTIVE,,trust_degraded_missing_truth;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_read_only_insight,true
company-01|company-01-account-01|company-01-campaign-02|company-01-adset-03|company-01-creative-03,company-01,company-01-account-01,company-01-campaign-02,company-01-adset-03,company-01-creative-03,Refresh,Refresh,review_only,86,active_conversions_below_benchmark;refresh_before_cut,high,creative,false,false,458.13,8,31517,2.45,57.27,2.31,2,2.45,3.52,44.41,164.03,true,ACTIVE,ACTIVE,,trust_live_confident;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_operator_review_required,false
company-01|company-01-account-01|company-01-campaign-02|company-01-adset-04|company-01-creative-04,company-01,company-01-account-01,company-01-campaign-02,company-01-adset-04,company-01-creative-04,Refresh,Protect,review_only,86,around_benchmark_stable;protect,low,creative,false,false,413.16,13,52320,3.38,31.78,4.04,4,2.84,3.52,45.78,164.03,true,ACTIVE,ACTIVE,,trust_live_confident;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_operator_review_required,true
company-01|company-01-account-01|company-01-campaign-02|company-01-adset-05|company-01-creative-05,company-01,company-01-account-01,company-01-campaign-02,company-01-adset-05,company-01-creative-05,Scale,Protect,review_only,90,stable_above_benchmark_winner;protect_before_scale,low,creative,false,false,356.73,18,39416,8.99,19.82,7.52,6,7.08,3.42,45.78,164.03,true,ACTIVE,ACTIVE,,trust_live_confident;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_blocked_from_push,true
company-01|company-01-account-01|company-01-campaign-03|company-01-adset-06|company-01-creative-06,company-01,company-01-account-01,company-01-campaign-03,company-01-adset-06,company-01-creative-06,Cut,Cut,review_only,83,severe_sustained_loser;below_benchmark;no_recent_recovery,high,creative,false,false,279.77,0,90929,0,0,0,0,0,3.46,45.73,176.19,true,ACTIVE,ACTIVE,,trust_degraded_missing_truth;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_operator_review_required,false
company-01|company-01-account-01|company-01-campaign-03|company-01-adset-06|company-01-creative-07,company-01,company-01-account-01,company-01-campaign-03,company-01-adset-06,company-01-creative-07,Diagnose,Test More,review_only,69,degraded_truth;sparse_purchases;confirm_before_refresh,medium,insufficient-signal,false,false,241.32,0,158396,0,0,,,2.45,3.46,45.73,176.19,true,ACTIVE,ACTIVE,,trust_degraded_missing_truth;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_read_only_insight,true
company-01|company-01-account-01|company-01-campaign-02|company-01-adset-05|company-01-creative-08,company-01,company-01-account-01,company-01-campaign-02,company-01-adset-05,company-01-creative-08,Refresh,Test More,review_only,78,weak_read_with_conversion;test_more_before_cut,medium,insufficient-signal,false,false,176.19,2,25871,1.74,88.1,7.49,1,1.74,3.52,44.41,254.3,true,ACTIVE,ACTIVE,,trust_live_confident;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_blocked_from_push,true
company-01|company-01-account-01|company-01-campaign-02|company-01-adset-05|company-01-creative-09,company-01,company-01-account-01,company-01-campaign-02,company-01-adset-05,company-01-creative-09,Refresh,Test More,review_only,80,around_benchmark;needs_more_delivery,low,insufficient-signal,false,false,151.87,3,30836,3.58,50.62,16.19,1,3.58,3.42,44.41,266.46,true,ACTIVE,ACTIVE,,trust_live_confident;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_blocked_from_push,true
company-01|company-01-account-01|company-01-campaign-02|company-01-adset-05|company-01-creative-10,company-01,company-01-account-01,company-01-campaign-02,company-01-adset-05,company-01-creative-10,Refresh,Test More,review_only,80,around_benchmark;needs_more_delivery,low,insufficient-signal,false,false,129.23,3,6672,3,43.08,0,0,4.23,3.52,45.78,266.46,true,ACTIVE,ACTIVE,,trust_live_confident;evidence_live;baseline_strong;validation_missing;active_source_campaign_and_adset;push_blocked_from_push,true
