"Day","Orders","Gross sales","Discounts","Returns","Net sales","Shipping charges","Duties","Additional fees","Taxes","Total sales","Day (previous_month)","Orders (previous_month)","Gross sales (previous_month)","Discounts (previous_month)","Returns (previous_month)","Net sales (previous_month)","Shipping charges (previous_month)","Duties (previous_month)","Additional fees (previous_month)","Taxes (previous_month)","Total sales (previous_month)","Orders (previous_month) ","Gross sales (previous_month) ","Discounts (previous_month) ","Returns (previous_month) ","Net sales (previous_month) ","Shipping charges (previous_month) ","Duties (previous_month) ","Additional fees (previous_month) ","Taxes (previous_month) ","Total sales (previous_month) "
"2026-03-01",19,4578.33,-128.43,-430.1,4019.8,0,0,0,23.61,4043.41,"2026-02-01",19,3715.95,-156.89,-13.5,3545.56,101.58,0,0,44.65,3691.79,0,23.207,18.14,-3085.925,13.375,-100,,,-47.122,9.524
"2026-03-02",15,3550.15,-72.7,-215.21,3262.24,0,0,0,0,3262.24,"2026-02-02",14,2828.07,-62.6,-429.23,2336.24,40.45,0,0,0,2376.69,7.142857142857143,25.532,-16.134,49.861,39.636,-100,,,,37.259
"2026-03-03",14,4113.66,-120.7,0,3992.96,40,0,0,58.35,4091.31,"2026-02-03",26,8047.53,-300.89,0,7746.64,141.05,0,0,0,7887.69,-46.15384615384615,-48.882,59.885,,-48.455,-71.641,,,,-48.13
"2026-03-04",10,2082.52,-82.86,-48.87,1950.79,0,0,0,0,1950.79,"2026-02-04",7,2038,-133.1,-150.76,1754.14,20,0,0,0,1774.14,42.857142857142854,2.184,37.746,67.584,11.21,-100,,,,9.956
"2026-03-05",16,3703.83,-154.78,0,3549.05,40.53,0,0,57.72,3647.3,"2026-02-05",15,3898.59,-137.25,-28.35,3732.99,122.04,0,0,57.67,3912.7,6.666666666666667,-4.995,-12.772,100,-4.927,-66.789,,,0.086,-6.783
"2026-03-06",10,1481.66,-24.53,0,1457.13,61.37,0,0,0,1518.5,"2026-02-06",9,1856,-97.4,-13.5,1745.1,0,0,0,4.13,1749.23,11.11111111111111,-20.169,74.815,100,-16.501,,,,-100,-13.19
"2026-03-07",9,1935.51,-38.9,-108.6,1788.01,0,0,0,0,1788.01,"2026-02-07",13,2625.33,-165.88,0,2459.45,0,0,0,0,2459.45,-30.76923076923077,-26.275,76.549,,-27.3,,,,,-27.3
"2026-03-08",19,5953.18,-255.47,-1818.4,3879.31,20,0,0,28.63,3927.94,"2026-02-08",7,1635.71,-129.77,-24,1481.94,0.4,0,0,0,1482.34,171.42857142857142,263.95,-96.863,-7476.666,161.772,4900,,,,164.982
"2026-03-09",6,1164.63,-19.8,0,1144.83,0,0,0,30.44,1175.27,"2026-02-09",16,3969.3,-163.76,-22.95,3782.59,0,0,0,0,3782.59,-62.5,-70.659,87.909,100,-69.734,,,,,-68.929
"2026-03-10",14,2658.25,-74.22,-91.46,2492.57,60.42,0,0,0,2552.99,"2026-02-10",10,3125.15,-169.19,-74.5,2881.46,41.39,0,0,27.97,2950.82,40,-14.94,56.132,-22.765,-13.496,45.977,,,-100,-13.482
